Datum;Uur;Aantal_check_ins
13-2-2023;6;101.5
13-2-2023;7;342.3
13-2-2023;8;420.8
13-2-2023;9;231.2
13-2-2023;10;180.1
13-2-2023;11;177.3
13-2-2023;12;222.8
13-2-2023;13;218.1
13-2-2023;14;258.7
13-2-2023;15;321
13-2-2023;16;362
13-2-2023;17;370.7
13-2-2023;18;204.9
13-2-2023;19;108.4
13-2-2023;20;76.7
13-2-2023;21;66.3
13-2-2023;22;55.4
13-2-2023;23;34.7
14-2-2023;0;9.5
14-2-2023;1;0.9
14-2-2023;2;0.4
14-2-2023;3;0.4
14-2-2023;4;1.5
14-2-2023;5;17.5
14-2-2023;6;107
14-2-2023;7;369.6
14-2-2023;8;456
14-2-2023;9;252.8
14-2-2023;10;189.9
14-2-2023;11;186.4
14-2-2023;12;236
14-2-2023;13;237.3
14-2-2023;14;281.2
14-2-2023;15;334.1
14-2-2023;16;378.3
14-2-2023;17;407.7
14-2-2023;18;238.3
14-2-2023;19;127.3
14-2-2023;20;90.4
14-2-2023;21;80.7
14-2-2023;22;72.4
14-2-2023;23;48.3
15-2-2023;0;13.7
15-2-2023;1;1.1
